time/fps,train/actor_loss,time/time_elapsed,time/total_timesteps,train/rewards,train/n_updates,train/learning_rate,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
56,0.4351476950972688,4328,243576,-0.06062326,343536,0.001,2388,102.0,0.0015580998371268495,-8.02744203
56,0.4300621695378247,4335,243984,-0.065510534,343944,0.001,2392,102.0,0.0015759814745180455,-8.02691283
56,0.44164182713218764,4342,244392,-0.08812055,344352,0.001,2396,102.0,0.0012974537124083487,-8.03354656
56,0.44344966405746983,4350,244800,-0.09177193,344760,0.001,2400,102.0,0.001375570779440322,-8.042545460000001
56,0.4691617409972584,4357,245208,-0.100955494,345168,0.001,2404,102.0,0.0028882563172944586,-8.00779685
56,0.46462958408337013,4364,245616,-0.08932775,345576,0.001,2408,102.0,0.001285720528696901,-8.009719660000002
56,0.4660891291557574,4371,246024,-0.07052339,345984,0.001,2412,102.0,0.0014088332308364996,-8.003828729999999
56,0.44617368017925935,4378,246432,-0.06102683,346392,0.001,2416,102.0,0.0014763216170774517,-7.999002019999999
56,0.4266009073631436,4385,246840,-0.08674046,346800,0.001,2420,102.0,0.0016429368118349207,-7.958670359999998
56,0.46455803513526917,4393,247248,-0.077586815,347208,0.001,2424,102.0,0.0018123745246032509,-7.935320460000002
56,0.44287387413137097,4400,247656,-0.048864875,347616,0.001,2428,102.0,0.001327898004234942,-7.924576409999999
56,0.456030200509464,4407,248064,-0.059588086,348024,0.001,2432,102.0,0.001251377322677952,-7.90874643
56,0.45948176816398023,4414,248472,-0.12569286,348432,0.001,2436,102.0,0.0013853524550202065,-7.923930040000001
56,0.45048412680625916,4421,248880,-0.057780072,348840,0.001,2440,102.0,0.0015087054888877616,-7.912810540000001
56,0.4737561646045423,4428,249288,-0.06312212,349248,0.001,2444,102.0,0.0015860091278263294,-7.872241889999999
56,0.44376934831048925,4436,249696,-0.08407319,349656,0.001,2448,102.0,0.0014934345041789736,-7.87513587
56,0.44887660589872624,4443,250104,-0.06046875,350064,0.001,2452,102.0,0.0019961709264202463,-7.864785370000001
56,0.4770130748842277,4450,250512,-0.06723604,350472,0.001,2456,102.0,0.0014778684130493168,-7.874597850000002
56,0.4738028435146107,4457,250920,-0.054660283,350880,0.001,2460,102.0,0.0015817511307164643,-7.860777740000002
56,0.4308869607892691,4464,251328,-0.039326333,351288,0.001,2464,102.0,0.0013321153420096665,-7.864654020000001
56,0.45998894174893695,4471,251736,-0.0901699,351696,0.001,2468,102.0,0.002071192908653186,-7.85726905
56,0.47091202174915986,4479,252144,-0.10238525,352104,0.001,2472,102.0,0.001445335711240677,-7.85246498
56,0.45545215115827675,4486,252552,-0.12426958,352512,0.001,2476,102.0,0.0011987656843677327,-7.836942659999998
56,0.46262016015894275,4493,252960,-0.10210076,352920,0.001,2480,102.0,0.0014107020186059469,-7.84027475
56,0.44226502670961265,4500,253368,-0.087375365,353328,0.001,2484,102.0,0.001753264306399597,-7.8028719
56,0.46262186268965405,4507,253776,-0.030885186,353736,0.001,2488,102.0,0.0014078581911698897,-7.798308579999998
56,0.47107475733055787,4515,254184,-0.0809032,354144,0.001,2492,102.0,0.0015320682381142808,-7.833680469999999
56,0.46172846882951024,4522,254592,-0.055467933,354552,0.001,2496,102.0,0.001405808336344575,-7.87344453
56,0.4815804134396946,4529,255000,-0.05358672,354960,0.001,2500,102.0,0.001388582600139118,-7.900596809999999
56,0.4378591398982441,4536,255408,-0.091662295,355368,0.001,2504,102.0,0.0012717938146784482,-7.94399112
56,0.4523083345562804,4543,255816,-0.07670398,355776,0.001,2508,102.0,0.0013954622540326206,-7.923902859999999
56,0.4590021290031134,4550,256224,-0.07719059,356184,0.001,2512,102.0,0.0015090633398857807,-7.902876570000001
56,0.454920669688898,4558,256632,-0.087598935,356592,0.001,2516,102.0,0.0012244401966431634,-7.922672979999999
56,0.4856883021546345,4565,257040,-0.060611866,357000,0.001,2520,102.0,0.0014554248996051576,-7.970508649999998
56,0.46090810088550344,4572,257448,-0.09717311,357408,0.001,2524,102.0,0.0016101291769825598,-8.025483020000001
56,0.45912937118726616,4579,257856,-0.093751915,357816,0.001,2528,102.0,0.0013951680513998202,-8.04747232
